Name	mmX(row1)	mmY(row1)	mmZ(row1)	mmX(row2)	mmY(row2)	mmZ(row2)	mmX(row3)	mmY(row3)	mmZ(row3)	mmX(row4)	mmY(row4)	mmZ(row4)	mmX(row5)	mmY(row5)	mmZ(row5)	mmX(row6)	mmY(row6)	mmZ(row6)	mmX(row7)	mmY(row7)	mmZ(row7)	mmX(row8)	mmY(row8)	mmZ(row8)	mmX(row9)	mmY(row9)	mmZ(row9)	mmX(row10)	mmY(row10)	mmZ(row10)	mmX(row11)	mmY(row11)	mmZ(row11)	mmX(row12)	mmY(row12)	mmZ(row12)	mmX(row13)	mmY(row13)	mmZ(row13)	mmX(row14)	mmY(row14)	mmZ(row14)	mmX(row15)	mmY(row15)	mmZ(row15)	mmX(row16)	mmY(row16)	mmZ(row16)
E4SA039.csv	-96.12813	-25.62813	-220.65	-86.03438	-10.19063	-241.45	-79.50313	-7.221878	-261.45	-20.72188	-22.65938	-327.05	-5.284378	-27.40938	-326.25	15.49687	-28.59688	-323.05	32.12187	-26.22188	-323.85	98.02812	-20.87813	-269.45	104.5594	-23.84688	-252.65	112.8719	-41.06563	-231.85	73.09062	97.87187	-227.05	73.68437	93.12187	-238.25	74.87187	88.37187	-247.85	-29.62813	94.90312	-242.25	-28.44063	99.05937	-233.45	-21.31563	102.0281	-223.85
E4SA040.csv	-118.3838	-41.16106	-316.05	-112.5556	-24.40519	-331.25	-105.999	-22.94816	-345.65	-38.97551	-38.97551	-405.65	-20.76261	-41.16106	-405.65	-4.006742	-42.61809	-406.45	12.74913	-44.07512	-407.25	89.97182	-37.51848	-352.05	92.88589	-39.70403	-332.85	97.25698	-60.10247	-316.05	40.43274	92.88589	-287.25	45.53234	84.14369	-298.45	44.80383	84.14369	-309.65	-48.44622	92.88589	-312.05	-45.53215	93.6144	-297.65	-45.53215	103.0851	-282.45
E4SA041.csv	-117.7734	-49.86094	-289.45	-108.6328	-33.68906	-299.85	-102.3047	-25.25156	-319.05	-28.47656	-54.07969	-367.85	-12.30469	-59.00156	-369.45	8.789062	-59.70469	-370.25	24.96094	-57.59531	-366.25	100.1953	-47.04844	-312.65	100.8984	-53.37656	-295.85	105.1172	-76.57969	-281.45	67.14844	73.88906	-242.25	66.44531	65.45156	-257.45	60.82031	65.45156	-267.85	-40.42969	73.18594	-272.65	-45.35156	76.70156	-260.65	-42.53906	83.73281	-246.25
E4SA042.csv	-121.4311	-50.13572	-386.15	-103.5482	-36.08493	-398.15	-94.60683	-36.08493	-412.55	-22.43689	-43.749	-467.75	-5.831422	-49.49705	-472.55	11.41272	-50.13572	-472.55	33.76624	-46.30369	-466.15	111.6842	-49.49705	-410.15	119.987	-52.69041	-400.55	128.9284	-63.54783	-394.15	68.25453	69.93462	-349.35	66.33852	64.18657	-362.95	69.53188	59.07719	-378.95	-33.93299	62.27055	-374.15	-32.01698	66.10259	-358.95	-24.99158	71.85063	-346.95
E4SA043.csv	-140.6545	-23.25022	-212.75	-126.5569	-12.28538	-229.85	-118.7248	-9.152566	-246.05	-35.7053	-31.08225	-302.75	-17.69163	-28.73264	-303.65	-0.461168	-28.73264	-300.95	19.11891	-27.94944	-300.95	96.65601	-2.103739	-254.15	99.78882	-0.537332	-238.85	118.5857	-14.63499	-225.35	26.95094	117.7263	-194.75	32.43336	104.4119	-212.75	35.56617	96.57984	-225.35	-63.90061	90.31422	-232.55	-63.90061	97.36304	-220.85	-53.71897	109.8943	-204.65
E4SA044.csv	-104.2387	-38.41752	-348.6	-92.81287	-18.61282	-358.5	-84.43396	-18.61282	-375.6	-18.1644	-32.32377	-431.4	-5.215181	-30.80033	-427.8	13.06607	-30.80033	-426	25.25358	-30.80033	-431.4	92.28485	-16.32766	-373.8	101.4255	-14.04251	-360.3	113.613	-32.32377	-348.6	48.86687	105.5474	-321.6	51.91374	96.40675	-333.3	52.67546	88.02784	-350.4	-48.63316	87.26612	-346.8	-47.87145	94.12159	-331.5	-41.7777	104.0239	-319.8
E4SA045.csv	-109.1328	-34.03906	-352.3	-99.99219	-17.86719	-366.7	-94.36719	-13.64844	-380.2	-24.05469	-23.49219	-450.4	-10.69531	-29.11719	-457.6	14.61719	-29.11719	-455.8	27.27344	-25.60156	-449.5	97.58594	-11.53906	-387.4	103.9141	-12.24219	-369.4	113.0547	-34.03906	-349.6	56.10156	105.1797	-339.7	58.91406	96.03906	-347.8	57.50781	90.41406	-360.4	-52.17969	88.30469	-364	-51.47656	93.92969	-350.5	-47.96094	103.7734	-341.5
E4SA046.csv	-131.1824	-34.50502	-379.1	-116.6277	-21.56752	-390.3	-102.8816	-15.90736	-412.7	-22.02221	-40.97377	-455.1	-5.850331	-40.97377	-455.1	14.36452	-40.16518	-456.7	29.7278	-41.78237	-453.5	108.97	-26.41908	-406.3	117.8645	-28.03627	-390.3	133.2278	-45.01675	-376.7	59.64578	102.1474	-350.3	63.68875	95.67861	-366.3	68.54031	87.59267	-381.5	-46.28003	93.25283	-384.7	-43.04565	100.5302	-370.3	-40.61987	106.9989	-357.5
E4SA047.csv	-140.4363	-42.48794	-405.8	-126.2449	-29.6481	-416.6	-114.7567	-28.29654	-432.8	-46.50279	-41.13638	-491.3	-28.2567	-39.78481	-491.3	-6.631707	-40.46059	-492.2	10.26282	-41.13638	-490.4	79.86826	-31.67544	-435.5	87.30185	-33.70278	-415.7	97.43857	-49.92153	-399.5	26.48156	97.39873	-386	36.61828	85.91045	-395	34.59094	83.88311	-405.8	-68.80356	83.88311	-405.8	-71.50668	83.88311	-395.9	-60.69419	93.34404	-392.3
E4SA048.csv	-128.3494	-13.88494	-195.3	-108.0662	-0.798999	-212.4	-93.67166	0.509595	-230.4	-26.27907	-15.84783	-284.4	-13.84743	-21.7365	-290.7	7.744371	-25.00799	-288.9	22.7932	-23.69939	-284.4	98.69166	-21.7365	-234.9	101.3088	-23.0451	-216.9	116.3577	-46.59979	-199.8	56.81665	86.2225	-164.7	66.6311	77.06234	-181.8	66.6311	74.44515	-195.3	-36.74783	91.45688	-192.6	-33.47634	92.11118	-178.2	-27.58767	98.65414	-163.8
